productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extDescription,extCardType,extCardSubtype,extElement,extClass,extReserveCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extSpeed,extPower,extLife,extFlavorText,extMemoryCost,extDurability,extLevel
523538,Wildgrowth Elixir,Wildgrowth Elixir,https://tcgplayer-cdn.tcgplayer.com/product/523538_200w.jpg,74,23338,https://cpt.tcgcsv.com/Nqc6,2024-02-05T17:23:19.997,1,Uncommon,173,"Brew — Two Herbs
<br>
At the beginning of your recollection phase, put an age counter on Wildgrowth Elixir.
<br>
Sacrifice Wildgrowth Elixir: Put X buff counters on target ally, where X is the amount of age counters on Wildgrowth Elixir.",Item,Potion,Wind,Cleric,3,1.86,1.86,5.0,1.86,,Foil,,,,,,,
523538,Wildgrowth Elixir,Wildgrowth Elixir,https://tcgplayer-cdn.tcgplayer.com/product/523538_200w.jpg,74,23338,https://cpt.tcgcsv.com/Nqc6,2024-02-05T17:23:19.997,1,Uncommon,173,"Brew — Two Herbs
<br>
At the beginning of your recollection phase, put an age counter on Wildgrowth Elixir.
<br>
Sacrifice Wildgrowth Elixir: Put X buff counters on target ally, where X is the amount of age counters on Wildgrowth Elixir.",Item,Potion,Wind,Cleric,3,0.18,0.25,2.0,0.19,,Normal,,,,,,,
523541,Rapid Reload,Rapid Reload,https://tcgplayer-cdn.tcgplayer.com/product/523541_200w.jpg,74,23338,https://cpt.tcgcsv.com/Rqc6,2024-02-13T14:13:29.48,1,Uncommon,164,"[Class Bonus] Efficiency <em>(This card costs LV less to activate. LV refers to your champion's level. Apply this effect only if your champion's class matches this card's class.)</em>
<br>
Materialize a Bullet card from your material deck.",Action,Skill,Wind,Ranger,3,1.49,1.96,3.99,1.82,,Foil,Fast,,,,,,
523541,Rapid Reload,Rapid Reload,https://tcgplayer-cdn.tcgplayer.com/product/523541_200w.jpg,74,23338,https://cpt.tcgcsv.com/Rqc6,2024-02-13T14:13:29.48,1,Uncommon,164,"[Class Bonus] Efficiency <em>(This card costs LV less to activate. LV refers to your champion's level. Apply this effect only if your champion's class matches this card's class.)</em>
<br>
Materialize a Bullet card from your material deck.",Action,Skill,Wind,Ranger,3,0.15,0.25,1.0,0.19,,Normal,Fast,,,,,,
523542,Armored Valkyrie,Armored Valkyrie,https://tcgplayer-cdn.tcgplayer.com/product/523542_200w.jpg,74,23338,https://cpt.tcgcsv.com/Sqc6,2024-02-05T17:20:30.19,1,Common,153,"Steadfast <em>(This ally can retaliate while rested and doesn't rest to do so.)</em>
<br>
[Class Bonus] As long as Armored Valkyrie is retaliating, it gets +2 power. <em>(Apply this effect only if your champion's class matches this card's class.)</em>",Ally,Automaton,Wind,Guardian,3,0.04,0.19,1.0,0.1,,Normal,,2,2,,,,
523542,Armored Valkyrie,Armored Valkyrie,https://tcgplayer-cdn.tcgplayer.com/product/523542_200w.jpg,74,23338,https://cpt.tcgcsv.com/Sqc6,2024-02-05T17:20:30.19,1,Common,153,"Steadfast <em>(This ally can retaliate while rested and doesn't rest to do so.)</em>
<br>
[Class Bonus] As long as Armored Valkyrie is retaliating, it gets +2 power. <em>(Apply this effect only if your champion's class matches this card's class.)</em>",Ally,Automaton,Wind,Guardian,3,0.2,6.03,15.0,0.7,,Foil,,2,2,,,,
523546,Stream of Consciousness,Stream of Consciousness,https://tcgplayer-cdn.tcgplayer.com/product/523546_200w.jpg,74,23338,https://cpt.tcgcsv.com/Xqc6,2024-02-15T14:53:18.833,1,Common,148,"[Class Bonus] [Memory 4+] Glimpse 3. <em>(Apply this effect only if your champion's class matches this card's class and only if there are four or more cards in your memory.)</em>
<br>
Draw a card into your memory.",Action,Spell,Water,Cleric,2,0.03,0.18,1.0,0.06,,Normal,Fast,,,,,,
523546,Stream of Consciousness,Stream of Consciousness,https://tcgplayer-cdn.tcgplayer.com/product/523546_200w.jpg,74,23338,https://cpt.tcgcsv.com/Xqc6,2024-02-15T14:53:18.833,1,Common,148,"[Class Bonus] [Memory 4+] Glimpse 3. <em>(Apply this effect only if your champion's class matches this card's class and only if there are four or more cards in your memory.)</em>
<br>
Draw a card into your memory.",Action,Spell,Water,Cleric,2,1.93,5.39,18.99,2.49,,Foil,Fast,,,,,,
523550,Freezing Round,Freezing Round,https://tcgplayer-cdn.tcgplayer.com/product/523550_200w.jpg,74,23338,https://cpt.tcgcsv.com/0rc6,2024-02-05T17:23:04.607,1,Uncommon,133,"REST: Load Freezing Round into target unloaded Gun weapon you control.
<br>
On Champion Hit: That player banishes a card at random from their memory. Return that card to their memory at the beginning of their next end phase.
<br>
[Class Bonus] Floating Memory",Item,Bullet,Water,Ranger,2,2.91,4.24,14.99,4.24,,Foil,,2,,,,,
523550,Freezing Round,Freezing Round,https://tcgplayer-cdn.tcgplayer.com/product/523550_200w.jpg,74,23338,https://cpt.tcgcsv.com/0rc6,2024-02-05T17:23:04.607,1,Uncommon,133,"REST: Load Freezing Round into target unloaded Gun weapon you control.
<br>
On Champion Hit: That player banishes a card at random from their memory. Return that card to their memory at the beginning of their next end phase.
<br>
[Class Bonus] Floating Memory",Item,Bullet,Water,Ranger,2,0.09,0.2,2.0,0.18,,Normal,,2,,,,,
