productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extDescription,extCardType,extCardSubtype,extElement,extClass,extReserveCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extMemoryCost,extSpeed,extFlavorText,extLevel,extLife,extPower,extDurability
498009,Dawn of Ashes,Dawn of Ashes,https://tcgplayer-cdn.tcgplayer.com/product/498009_200w.jpg,74,23212,https://cpt.tcgcsv.com/cd_5,2023-08-25T04:03:10.707,1,Super Rare,030,"Upkeep — At the beginning of your recollection phase, reveal a card at random from your memory. If that card is not norm element, sacrifice Dawn of Ashes.
<br>
Non-norm element cards cost 1 more to activate.",Domain;Unique,Cataclysm,Norm,Cleric,3,2.45,4.74,15.99,6.0,,Normal,,,,,,,
498009,Dawn of Ashes,Dawn of Ashes,https://tcgplayer-cdn.tcgplayer.com/product/498009_200w.jpg,74,23212,https://cpt.tcgcsv.com/cd_5,2023-08-25T04:03:10.707,1,Super Rare,030,"Upkeep — At the beginning of your recollection phase, reveal a card at random from your memory. If that card is not norm element, sacrifice Dawn of Ashes.
<br>
Non-norm element cards cost 1 more to activate.",Domain;Unique,Cataclysm,Norm,Cleric,3,12.0,12.99,21.98,11.08,,Foil,,,,,,,
498010,Deep Sea Fractal,Deep Sea Fractal,https://tcgplayer-cdn.tcgplayer.com/product/498010_200w.jpg,74,23212,https://cpt.tcgcsv.com/dd_5,2023-08-25T04:03:10.707,1,Common,059,"Hindered (This object enters the field rested.)
<br>
On Enter: Each player puts the top card of their deck into their graveyard.
<br>
Reservable (While paying for a reserve cost, you may rest this object to pay for 1 of that cost.)",Phantasia,Fractal,Water,Cleric,2,0.05,0.15,2.0,0.1,,Normal,,,,,,,
498010,Deep Sea Fractal,Deep Sea Fractal,https://tcgplayer-cdn.tcgplayer.com/product/498010_200w.jpg,74,23212,https://cpt.tcgcsv.com/dd_5,2023-08-25T04:03:10.707,1,Common,059,"Hindered (This object enters the field rested.)
<br>
On Enter: Each player puts the top card of their deck into their graveyard.
<br>
Reservable (While paying for a reserve cost, you may rest this object to pay for 1 of that cost.)",Phantasia,Fractal,Water,Cleric,2,0.2,0.5,6.86,0.34,,Foil,,,,,,,
498011,Effigy of Gaia,Effigy of Gaia,https://tcgplayer-cdn.tcgplayer.com/product/498011_200w.jpg,74,23212,https://cpt.tcgcsv.com/fd_5,2023-08-25T04:03:10.707,1,Super Rare,019,"[Class Bonus] Your champion gets +1 level as long as you control an Animal or Beast ally.
<br>
Whenever an opponent activates an attack card with cleave, Animal and Beast allies you control get +2 Life until end of turn.",Item;Regalia,Bauble,Wind,Tamer,,0.1,0.5,5.0,0.38,,Normal,0,,,,,,
498011,Effigy of Gaia,Effigy of Gaia,https://tcgplayer-cdn.tcgplayer.com/product/498011_200w.jpg,74,23212,https://cpt.tcgcsv.com/fd_5,2023-08-25T04:03:10.707,1,Super Rare,019,"[Class Bonus] Your champion gets +1 level as long as you control an Animal or Beast ally.
<br>
Whenever an opponent activates an attack card with cleave, Animal and Beast allies you control get +2 Life until end of turn.",Item;Regalia,Bauble,Wind,Tamer,,3.99,4.99,99.99,4.32,,Foil,0,,,,,,
498012,Fast Cure,Fast Cure,https://tcgplayer-cdn.tcgplayer.com/product/498012_200w.jpg,74,23212,https://cpt.tcgcsv.com/gd_5,2023-08-25T04:03:10.707,1,Common,032,"If target opponent's influence is greater than yours, recover 4. (A player's influence is equal to the total amount of cards in their hand and memory.)
<br>
Floating Memory",Action,Spell,Norm,Cleric,2,0.2,1.25,2.0,1.2,,Normal,,Fast,<em>A brief respite in dire times may give enough focus to birth a plan.</em>,,,,
498012,Fast Cure,Fast Cure,https://tcgplayer-cdn.tcgplayer.com/product/498012_200w.jpg,74,23212,https://cpt.tcgcsv.com/gd_5,2023-08-25T04:03:10.707,1,Common,032,"If target opponent's influence is greater than yours, recover 4. (A player's influence is equal to the total amount of cards in their hand and memory.)
<br>
Floating Memory",Action,Spell,Norm,Cleric,2,7.99,13.86,14.95,7.37,,Foil,,Fast,<em>A brief respite in dire times may give enough focus to birth a plan.</em>,,,,
498013,Fractal of Insight,Fractal of Insight,https://tcgplayer-cdn.tcgplayer.com/product/498013_200w.jpg,74,23212,https://cpt.tcgcsv.com/hd_5,2023-08-25T04:03:10.707,1,Common,033,"On Enter: You may rest Fractal of Insight. If you do, glimpse 2.
<br>
Reservable (While paying for a reserve cost, you may rest this object to pay for 1 of that cost.)",Phantasia,Fractal,Norm,Mage,2,0.05,0.18,2.0,0.12,,Normal,,,"<em>An enigma that defies, and yet, sharpens reality.</em>",,,,
498013,Fractal of Insight,Fractal of Insight,https://tcgplayer-cdn.tcgplayer.com/product/498013_200w.jpg,74,23212,https://cpt.tcgcsv.com/hd_5,2023-08-25T04:03:10.707,1,Common,033,"On Enter: You may rest Fractal of Insight. If you do, glimpse 2.
<br>
Reservable (While paying for a reserve cost, you may rest this object to pay for 1 of that cost.)",Phantasia,Fractal,Norm,Mage,2,0.72,1.02,7.72,0.73,,Foil,,,"<em>An enigma that defies, and yet, sharpens reality.</em>",,,,
